ligand,sample,mean_rmsd_to_others,cluster_size,in_largest_cluster
5AW,pred.model_idx_0,9.089210493610203,1,True
5AW,pred.model_idx_1,9.67990176473829,1,False
5AW,pred.model_idx_2,11.421242369082483,1,False
5AW,pred.model_idx_3,8.288622263849065,1,False
5AW,pred.model_idx_4,11.136034626365454,1,False
5AW,pred.model_idx_5,11.208911614966121,1,False
5AW,pred.model_idx_6,7.967783117896831,1,False
5AW,pred.model_idx_7,10.322660180077627,1,False
5AW,pred.model_idx_8,9.147261116150398,1,False
5AW,pred.model_idx_9,8.558274931875665,1,False
08J,pred.model_idx_0,7.1464472009479385,1,True
08J,pred.model_idx_1,6.12638972289951,1,False
08J,pred.model_idx_2,8.194364490418895,1,False
08J,pred.model_idx_3,5.809798759730592,1,False
08J,pred.model_idx_4,8.01390055790163,1,False
08J,pred.model_idx_5,8.123588098581482,1,False
08J,pred.model_idx_6,5.7593204765293,1,False
08J,pred.model_idx_7,6.908787728706846,1,False
08J,pred.model_idx_8,6.533372149640211,1,False
08J,pred.model_idx_9,6.7825746180375655,1,False
08Y,pred.model_idx_0,9.751692133474185,1,True
08Y,pred.model_idx_1,12.2655123116414,1,False
08Y,pred.model_idx_2,12.508407467889507,1,False
08Y,pred.model_idx_3,9.713354359048406,1,False
08Y,pred.model_idx_4,12.065234286475663,1,False
08Y,pred.model_idx_5,13.203971185443297,1,False
08Y,pred.model_idx_6,9.084322222948439,1,False
08Y,pred.model_idx_7,12.289191143769424,1,False
08Y,pred.model_idx_8,10.552972402882332,1,False
08Y,pred.model_idx_9,9.806482411916521,1,False
1RD,pred.model_idx_0,9.226089812942046,1,True
1RD,pred.model_idx_1,9.344133635660173,1,False
1RD,pred.model_idx_2,9.797144855451416,1,False
1RD,pred.model_idx_3,7.526582595631668,1,False
1RD,pred.model_idx_4,9.351686901662072,1,False
1RD,pred.model_idx_5,9.345555032570946,1,False
1RD,pred.model_idx_6,6.969072766189879,1,False
1RD,pred.model_idx_7,8.39211237744291,1,False
1RD,pred.model_idx_8,7.50974392322188,1,False
1RD,pred.model_idx_9,8.836527291402335,1,False
2QH,pred.model_idx_0,8.379970132892305,1,True
2QH,pred.model_idx_1,7.880486740842703,1,False
2QH,pred.model_idx_2,10.906640649547981,1,False
2QH,pred.model_idx_3,8.268703788809582,1,False
2QH,pred.model_idx_4,10.057409396817853,1,False
2QH,pred.model_idx_5,10.68272185359488,1,False
2QH,pred.model_idx_6,7.74591008672455,1,False
2QH,pred.model_idx_7,9.06733830409328,1,False
2QH,pred.model_idx_8,8.482288404534733,1,False
2QH,pred.model_idx_9,7.853926333455159,1,False
80K,pred.model_idx_0,8.175499532997181,1,True
80K,pred.model_idx_1,6.850992042572622,1,False
80K,pred.model_idx_2,10.498844715407305,1,False
80K,pred.model_idx_3,7.302054891459431,1,False
80K,pred.model_idx_4,9.371845269628126,1,False
80K,pred.model_idx_5,8.95027259643724,1,False
80K,pred.model_idx_6,6.700408494972527,1,False
80K,pred.model_idx_7,8.116676865550605,1,False
80K,pred.model_idx_8,8.614530235297561,1,False
80K,pred.model_idx_9,7.27450266939534,1,False
7AW,pred.model_idx_0,8.634216360499845,1,True
7AW,pred.model_idx_1,11.299356343704353,1,False
7AW,pred.model_idx_2,11.159143822228842,1,False
7AW,pred.model_idx_3,8.674707947542506,1,False
7AW,pred.model_idx_4,10.507370378553293,1,False
7AW,pred.model_idx_5,11.87602161703539,1,False
7AW,pred.model_idx_6,8.063432003904772,1,False
7AW,pred.model_idx_7,9.64769895286518,1,False
7AW,pred.model_idx_8,9.643249750364006,1,False
7AW,pred.model_idx_9,8.568440243644545,1,False
A1A06,pred.model_idx_0,7.9845466940817165,1,True
