name,tag,rank,xeng
1W0G_MYT,run5_s42,0,1.1600729022733154
1W0G_MYT,run5_s42,1,1.1639292278690532
1W0G_MYT,run5_s42,2,1.0539803886863763
1W0G_MYT,run5_s42,3,1.1764027033984863
1W0G_MYT,run5_s42,4,0.9575695322530767
2J0D_ERY,run5_s42,0,1.7850231873346465
2J0D_ERY,run5_s42,1,0.9186506315272397
2J0D_ERY,run5_s42,2,1.7673039979934257
2J0D_ERY,run5_s42,3,1.2953609639247554
2J0D_ERY,run5_s42,4,1.4136504534081815
2V0M_KLN,run5_s42,0,1.6543499794667635
2V0M_KLN,run5_s42,1,1.685557994776087
2V0M_KLN,run5_s42,2,1.5394007507857335
2V0M_KLN,run5_s42,3,1.6942048025377778
2V0M_KLN,run5_s42,4,1.753118579617239
3NXU_RIT,run5_s42,0,0.9676985191555687
3NXU_RIT,run5_s42,1,0.9165325610748484
3NXU_RIT,run5_s42,2,1.0168229825801067
3NXU_RIT,run5_s42,3,0.9256353025562625
3NXU_RIT,run5_s42,4,0.9768361207249359
3TJS_D0R,run5_s42,0,1.5442783572416363
3TJS_D0R,run5_s42,1,1.5163203072753442
3TJS_D0R,run5_s42,2,1.9651173464224865
3TJS_D0R,run5_s42,3,1.305135894030198
3TJS_D0R,run5_s42,4,1.5115725741376096
3UA1_08Y,run5_s42,0,0.925636005890054
3UA1_08Y,run5_s42,1,1.1455536717975583
3UA1_08Y,run5_s42,2,1.0397350004142534
3UA1_08Y,run5_s42,3,0.9996973273291669
3UA1_08Y,run5_s42,4,1.0530854729800536
4D6Z_PK9,run5_s42,0,1.4166490607915694
4D6Z_PK9,run5_s42,1,1.0193220674665424
4D6Z_PK9,run5_s42,2,1.3175457777786292
4D6Z_PK9,run5_s42,3,1.0259764387786148
4D6Z_PK9,run5_s42,4,0.9294164585298705
4D78_J9K,run5_s42,0,1.1714450807269614
4D78_J9K,run5_s42,1,1.265521695322997
4D78_J9K,run5_s42,2,1.224841943056555
4D78_J9K,run5_s42,3,1.0522597381603098
4D78_J9K,run5_s42,4,0.8783031766779436
4D7D_PKT,run5_s42,0,1.5763798507565043
4D7D_PKT,run5_s42,1,1.683912843470694
4D7D_PKT,run5_s42,2,1.3930941435212303
4D7D_PKT,run5_s42,3,1.6007724279685658
4D7D_PKT,run5_s42,4,1.6958431175070905
4I4G_Z8Z,run5_s42,0,0.8263056374628492
4I4G_Z8Z,run5_s42,1,0.9862525896406298
4I4G_Z8Z,run5_s42,2,0.9745180454625919
4I4G_Z8Z,run5_s42,3,0.9618899262577816
4I4G_Z8Z,run5_s42,4,0.8142719713635077
4I4H_Z9Z,run5_s42,0,1.0159478421958137
4I4H_Z9Z,run5_s42,1,0.9675777645037634
4I4H_Z9Z,run5_s42,2,0.930172407557138
4I4H_Z9Z,run5_s42,3,0.9763560710043192
4I4H_Z9Z,run5_s42,4,1.017567315558203
4K9T_1RD,run5_s42,0,1.081315083733688
4K9T_1RD,run5_s42,1,1.1433822786410048
4K9T_1RD,run5_s42,2,1.8934245190693488
4K9T_1RD,run5_s42,3,1.5867667611400815
4K9T_1RD,run5_s42,4,1.2444164401992381
4K9U_5AW,run5_s42,0,1.2318114256550163
4K9U_5AW,run5_s42,1,1.1566797384028977
4K9U_5AW,run5_s42,2,1.257535375096724
4K9U_5AW,run5_s42,3,1.2552578625383402
4K9U_5AW,run5_s42,4,1.2510282322857764
4K9V_6AW,run5_s42,0,0.850352447643887
4K9V_6AW,run5_s42,1,1.0476474393206314
4K9V_6AW,run5_s42,2,0.9472043815063896
4K9V_6AW,run5_s42,3,0.8099517161880039
4K9V_6AW,run5_s42,4,0.7227432588984654
4K9W_7AW,run5_s42,0,1.2461091644953524
4K9W_7AW,run5_s42,1,0.9601276887856399
4K9W_7AW,run5_s42,2,1.1661187928973555
4K9W_7AW,run5_s42,3,1.0473902995119035
4K9W_7AW,run5_s42,4,0.946958141835097
4K9X_8AW,run5_s42,0,0.7903151314290467
4K9X_8AW,run5_s42,1,0.7937117111369008
4K9X_8AW,run5_s42,2,0.7285492332638169
4K9X_8AW,run5_s42,3,0.7491425149308996
4K9X_8AW,run5_s42,4,0.7704068579549039
4NY4_2QH,run5_s42,0,0.7986076271909153
4NY4_2QH,run5_s42,1,0.7719506469222526
4NY4_2QH,run5_s42,2,0.8665751797629082
4NY4_2QH,run5_s42,3,0.8012327175164162
4NY4_2QH,run5_s42,4,0.7793860578534636
5G5J_MF8,run5_s42,0,1.5327860071014672
5G5J_MF8,run5_s42,1,1.8518468189403603
5G5J_MF8,run5_s42,2,1.3880628921504437
5G5J_MF8,run5_s42,3,1.9596363717181382
5G5J_MF8,run5_s42,4,23.6811100293914
5TE8_08J,run5_s42,0,1.986591869979692
5TE8_08J,run5_s42,1,1.6753205543421803
5TE8_08J,run5_s42,2,1.8783020509929487
5TE8_08J,run5_s42,3,1.9416333469359175
5TE8_08J,run5_s42,4,1.9652524352200662
6BCZ_D7Y,run5_s42,0,1.086910666208421
6BCZ_D7Y,run5_s42,1,1.121425498936454
6BCZ_D7Y,run5_s42,2,1.312052483192404
6BCZ_D7Y,run5_s42,3,1.1285712719409156
6BCZ_D7Y,run5_s42,4,1.5703576137104882
6BD5_D7M,run5_s42,0,1.3076610131444262
6BD5_D7M,run5_s42,1,1.020502805431431
6BD5_D7M,run5_s42,2,1.2219177738164897
6BD5_D7M,run5_s42,3,1.0037236719235376
6BD5_D7M,run5_s42,4,1.1221719989515546
6BD6_80K,run5_s42,0,1.2335761692276195
6BD6_80K,run5_s42,1,1.2816488073749686
6BD6_80K,run5_s42,2,1.1690952205911467
6BD6_80K,run5_s42,3,1.182384485371409
6BD6_80K,run5_s42,4,1.56325916871877
6BD7_D7J,run5_s42,0,1.2163418241222381
6BD7_D7J,run5_s42,1,1.2385421957566944
6BD7_D7J,run5_s42,2,1.2034682709598188
6BD7_D7J,run5_s42,3,1.278022996603861
6BD7_D7J,run5_s42,4,1.171743872938709
6BD8_D81,run5_s42,0,1.1014728020698017
6BD8_D81,run5_s42,1,1.2904327549004984
6BD8_D81,run5_s42,2,1.1964255743357188
6BD8_D81,run5_s42,3,1.2911045697408066
6BD8_D81,run5_s42,4,1.3785111390038527
