ligand,sample,rep,engine,ranking_score,ptm,iptm,plddt,gpde,has_clash,disorder
08J,0,0,protenix,0.9797067642211914,0.9519605040550232,0.986643373966217,92.39458465576172,0.37469109892845154,0.0,0.0
08Y,0,0,protenix,0.9707921147346497,0.9495490193367004,0.976102888584137,91.90567016601562,0.40167519450187683,0.0,0.0
1RD,0,0,protenix,0.9653637409210205,0.9508686065673828,0.9689874649047852,92.3304214477539,0.4600260257720947,0.0,0.0
2QH,0,0,protenix,0.9703955054283142,0.9484027624130249,0.9758936166763306,91.71713256835938,0.4112788438796997,0.0,0.0
5AW,0,0,protenix,0.969075620174408,0.9506800770759583,0.973674476146698,92.00495910644531,0.4390007555484772,0.0,0.0
6AW,0,0,protenix,0.9685537219047546,0.95216965675354,0.9726497530937195,92.47322845458984,0.42318809032440186,0.0,0.0
08J,0,1,protenix,0.9797067642211914,0.9519605040550232,0.986643373966217,92.39458465576172,0.37469109892845154,0.0,0.0
08Y,0,1,protenix,0.9707921147346497,0.9495490193367004,0.976102888584137,91.90567016601562,0.40167519450187683,0.0,0.0
1RD,0,1,protenix,0.9653637409210205,0.9508686065673828,0.9689874649047852,92.3304214477539,0.4600260257720947,0.0,0.0
2QH,0,1,protenix,0.9703955054283142,0.9484027624130249,0.9758936166763306,91.71713256835938,0.4112788438796997,0.0,0.0
5AW,0,1,protenix,0.969075620174408,0.9506800770759583,0.973674476146698,92.00495910644531,0.4390007555484772,0.0,0.0
6AW,0,1,protenix,0.9685537219047546,0.95216965675354,0.9726497530937195,92.47322845458984,0.42318809032440186,0.0,0.0
08J,0,2,protenix,0.9797067642211914,0.9519605040550232,0.986643373966217,92.39458465576172,0.37469109892845154,0.0,0.0
08Y,0,2,protenix,0.9707921147346497,0.9495490193367004,0.976102888584137,91.90567016601562,0.40167519450187683,0.0,0.0
1RD,0,2,protenix,0.9653637409210205,0.9508686065673828,0.9689874649047852,92.3304214477539,0.4600260257720947,0.0,0.0
2QH,0,2,protenix,0.9703955054283142,0.9484027624130249,0.9758936166763306,91.71713256835938,0.4112788438796997,0.0,0.0
5AW,0,2,protenix,0.969075620174408,0.9506800770759583,0.973674476146698,92.00495910644531,0.4390007555484772,0.0,0.0
6AW,0,2,protenix,0.9685537219047546,0.95216965675354,0.9726497530937195,92.47322845458984,0.42318809032440186,0.0,0.0
