ligand,sample,n_pocket_residues_touched,donor_to_centroid,rg_about_donor,centroid_fe_dist,azimuth_about_axis,distal_half_contacts,distal_half_buried_frac,contact_consensus
08J,pred.model_idx_0,11,4.241096332563007,5.362740482091304,6.4431874313877,55.34560238594503,46,0.2727272727272727,0.6306656306656307
08J,pred.model_idx_1,10,4.3230560098904895,5.438712263666512,6.584037221508966,59.94882143927632,52,0.45454545454545453,0.6792929292929294
08J,pred.model_idx_2,8,2.3952409455304404,4.030109017837132,6.794308159118087,-67.1163574189158,36,0.18181818181818182,0.6460631960631961
08J,pred.model_idx_3,8,2.368401493258759,4.024159269473185,6.461685796208486,-71.89523044521661,34,0.18181818181818182,0.6226711560044893
08J,pred.model_idx_4,8,1.7676460857055123,3.5310026165751944,6.6321065862414,-34.094268872199876,37,0.09090909090909091,0.6744107744107743
08J,pred.model_idx_5,8,1.674085988807207,3.4093595471494536,6.2196814005226635,-48.90356295770577,31,0.18181818181818182,0.6694163860830528
08J,pred.model_idx_6,9,1.7244652216171565,3.48668571294712,6.984086756499108,-43.38440402371884,57,0.45454545454545453,0.7216610549943884
08J,pred.model_idx_7,8,2.2909187708744283,3.971411877953208,6.908232372350902,-68.97580544587048,46,0.45454545454545453,0.637701804368471
08J,pred.model_idx_8,10,2.161785328216705,3.8107051555596234,7.16654248550843,-100.49557614432334,47,0.2727272727272727,0.7474747474747475
08J,pred.model_idx_9,11,2.426995893703352,4.076442881387815,6.795105948450078,58.76069447237582,50,0.36363636363636365,0.6754079254079254
1RD,pred.model_idx_0,14,7.9202841946537275,9.533883597838965,9.685964188811498,-177.33960511796028,78,0.35294117647058826,0.6756454726139969
1RD,pred.model_idx_1,13,7.89238073752923,9.458395212719756,9.65055453878804,-154.4066507773979,70,0.23529411764705882,0.5939069487444101
1RD,pred.model_idx_2,15,5.537008327644826,7.127432948023532,7.5123300793035,128.378602562092,130,0.7058823529411765,0.7255537400145243
1RD,pred.model_idx_3,15,5.504354146060598,7.224340734728018,7.441699745561029,101.8626631946745,115,0.6470588235294118,0.6663226694186446
1RD,pred.model_idx_4,14,5.120169589825266,6.493361537535304,7.099847084872422,-166.29103575411386,80,0.4117647058823529,0.7732259570494864
1RD,pred.model_idx_5,12,5.296083574853849,6.553079832087679,7.183618887270607,73.4565789426708,90,0.4117647058823529,0.7473748473748474
1RD,pred.model_idx_6,13,5.068099202112068,6.397755523842494,7.031562184253255,81.38344361791215,79,0.23529411764705882,0.7848006296535708
1RD,pred.model_idx_7,15,5.052303903716622,6.473023557150752,6.829721457911228,82.77750247031743,94,0.4117647058823529,0.7630446623093682
1RD,pred.model_idx_8,12,5.186260319619248,6.417027487195966,7.122127353938168,75.35610031051948,57,0.23529411764705882,0.726541514041514
1RD,pred.model_idx_9,14,7.674091441270398,9.241138230759239,9.551540092293695,-160.03647529835752,96,0.47058823529411764,0.6331355349157207
2QH,pred.model_idx_0,11,6.420877553975687,7.706629394076703,8.301489524648856,72.99125884428197,87,0.35294117647058826,0.7389092389092389
2QH,pred.model_idx_1,13,6.438423618896692,7.6889163334213055,8.235173314502628,23.338765610954656,141,0.7058823529411765,0.8128968253968255
2QH,pred.model_idx_2,14,6.222727921119228,7.4919894671889775,7.845195379656437,25.49593212164359,147,0.6470588235294118,0.8061507936507937
2QH,pred.model_idx_3,14,5.976447447992487,7.315864558293443,7.903548937312799,29.08149910339615,93,0.47058823529411764,0.8061507936507937
2QH,pred.model_idx_4,14,6.269935711965468,7.5941293231331395,8.267474887089197,173.97295100647568,61,0.23529411764705882,0.7368386243386243
2QH,pred.model_idx_5,13,6.217687414444137,7.504917129299101,7.962900341116957,-13.859808104000553,114,0.6470588235294118,0.7959656084656085
2QH,pred.model_idx_6,14,6.2104842122429575,7.51600020348746,8.055715875585863,-101.87340872778906,119,0.6470588235294118,0.7753968253968254
2QH,pred.model_idx_7,13,6.3126085070670115,7.59349788615621,7.664408038150077,24.735803273390097,117,0.5294117647058824,0.8128968253968255
2QH,pred.model_idx_8,12,6.212298397374975,7.47771858295579,8.20824930974741,-146.06693840674612,77,0.35294117647058826,0.696845746845747
2QH,pred.model_idx_9,13,6.0154164984358305,7.296275324961844,7.618518167033447,48.260953582990425,90,0.47058823529411764,0.7284391534391534
5AW,pred.model_idx_0,14,7.362489064903623,9.016771614682904,9.341988210082045,159.65422894616768,69,0.2222222222222222,0.7523649810801514
