group,feature,frac_const_within_ligand,median_within_CV,frac_missing,mean
polar,hb_ser119,0.057,0.345,0.0,0.39
polar,hb_arg106,0.747,0.0,0.0,0.029
polar,hb_arg212,0.609,0.0,0.0,0.036
polar,hb_asp214,0.989,0.0,0.0,0.0
polar,hb_thr224,0.897,0.0,0.0,0.016
polar,anchor_score,0.023,0.396,0.0,0.471
polar,n_anchor_hb,0.368,0.273,0.0,0.995
polar,hb_backbone,0.345,1.722,0.0,0.063
polar,n_hb_backbone,0.345,1.31,0.0,0.188
polar,unsat_buried_polar,0.23,1.483,0.0,0.248
polar,d_ser119,0.0,0.06,0.0,3.1
polar,d_arg106,0.0,0.127,0.0,6.936
polar,d_arg212,0.0,0.286,0.0,8.859
polar,d_asp214,0.0,0.093,0.0,11.449
polar,d_thr224,0.0,0.096,0.0,9.644
phe,phe_n_contacts,0.046,0.278,0.0,3.144
phe,phe_n_pd,0.322,0.632,0.0,0.506
phe,phe_n_t,0.126,0.461,0.0,1.137
phe,phe_stack_score,0.069,0.519,0.0,0.511
phe,phe_best_score,0.069,0.438,0.0,0.325
phe,phe_min_dist,0.046,0.049,0.121,4.516
phe,phe_n_res,0.046,0.217,0.0,2.47
phe,phe_heavy_contacts,0.0,0.196,0.0,57.373
phe,f304_dist,0.0,0.044,0.0,3.396
fg,fg_contacts,0.0,0.256,0.0,34.816
fg,fg_sc_contacts,0.0,0.234,0.0,32.775
fg,fg_frac,0.0,0.194,0.0,0.26
fg,fg_min_dist,0.0,0.084,0.0,3.188
fg,fg_n_res,0.023,0.182,0.0,3.966
fg,fg_depth,0.0,0.026,0.0,6.849
strain,strain,0.011,0.269,0.013,42.056
strain,max_clash,0.0,0.294,0.0,0.516
strain,n_clash,0.069,1.106,0.0,0.731
strain,self_clash,0.0,0.108,0.0,0.422
