ligand,sample,lddt_pli,bisy_rmsd
08J,08J__r0s0,0.1952908587257618,4.819779351544812
08J,08J__r0s1,0.15512465373961218,5.09402123269161
08J,08J__r0s10,0.10872576177285319,8.655386384784075
08J,08J__r0s11,0.06994459833795014,10.391482333802708
08J,08J__r0s12,0.07479224376731303,8.247265573275568
08J,08J__r0s13,0.08864265927977841,8.870746850831534
08J,08J__r0s14,0.10249307479224376,6.714848499642457
08J,08J__r0s15,0.09833795013850416,9.264942495334157
08J,08J__r0s16,0.13850415512465375,8.036870374035574
08J,08J__r0s17,0.15927977839335178,6.170194801321716
08J,08J__r0s18,0.1378116343490305,8.016146292612863
08J,08J__r0s19,0.17867036011080334,6.420786382073053
08J,08J__r0s2,0.09141274238227148,8.962696018173832
08J,08J__r0s3,0.09487534626038781,6.720480718666557
08J,08J__r0s4,0.07132963988919667,9.072719867333294
08J,08J__r0s5,0.12534626038781166,7.757948337315992
08J,08J__r0s6,0.0886426592797784,9.452348206207992
08J,08J__r0s7,0.1059556786703601,8.297742853600711
08J,08J__r0s8,0.10318559556786705,7.107405396060844
08J,08J__r0s9,0.15997229916897507,5.6610925789792805
08J,08J__r1s0,0.18074792243767313,5.302084104148825
08J,08J__r1s1,0.09556786703601108,5.840865541017647
08J,08J__r1s2,0.09279778393351801,7.206385193977221
08J,08J__r1s3,0.12257617728531855,8.395833885497256
08J,08J__r1s4,0.10664819944598339,5.89983469306207
08Y,08Y__r0s0,0.8132793017456359,1.1045345734450602
08Y,08Y__r0s1,0.09258104738154613,16.773759260276282
08Y,08Y__r0s10,0.14962593516209477,9.950655521196493
08Y,08Y__r0s11,0.17175810473815462,10.527489769629948
08Y,08Y__r0s12,0.06359102244389028,13.558035439714837
08Y,08Y__r0s13,0.15430174563591023,10.652574500078728
08Y,08Y__r0s14,0.22630922693266833,7.614245387481317
08Y,08Y__r0s15,0.05579800498753117,15.59787799951174
08Y,08Y__r0s16,0.07668329177057356,13.339763024677904
08Y,08Y__r0s17,0.1561720698254364,15.35481693311858
08Y,08Y__r0s18,0.05205735660847881,17.31276463790794
08Y,08Y__r0s19,0.09756857855361595,15.496695268218083
08Y,08Y__r0s2,0.064214463840399,16.882730420975093
08Y,08Y__r0s3,0.10910224438902744,11.304988348740917
08Y,08Y__r0s4,0.02244389027431421,18.06433434328146
08Y,08Y__r0s5,0.044576059850374064,15.195039398031371
08Y,08Y__r0s6,0.09102244389027431,11.956861005176165
08Y,08Y__r0s7,0.08946384039900249,15.408762581608302
08Y,08Y__r0s8,0.09850374064837905,11.649732136375299
08Y,08Y__r0s9,0.31982543640897754,5.7355913252752435
08Y,08Y__r1s0,0.8413341645885287,1.011728431573544
08Y,08Y__r1s1,0.04894014962593516,13.610705054408067
08Y,08Y__r1s2,0.270573566084788,6.895285640362949
08Y,08Y__r1s3,0.3279301745635911,6.216728351277908
08Y,08Y__r1s4,0.1726932668329177,9.249837427629531
1RD,1RD__r0s0,0.20779685264663805,6.419970006207992
1RD,1RD__r0s1,0.0332618025751073,15.110381277569592
1RD,1RD__r0s10,0.17560801144492133,7.776936694610213
1RD,1RD__r0s11,0.060801144492131615,12.97600211047223
1RD,1RD__r0s12,0.08941344778254649,10.050716699117078
1RD,1RD__r0s13,0.07689556509298999,14.946103655720988
1RD,1RD__r0s14,0.05507868383404864,11.568636213554958
1RD,1RD__r0s15,0.057939914163090134,13.027163812936696
1RD,1RD__r0s16,0.1967095851216023,7.452673979141695
1RD,1RD__r0s17,0.0844062947067239,12.480674100780549
1RD,1RD__r0s18,0.047567954220314734,17.342256271137494
1RD,1RD__r0s19,0.22317596566523606,7.380509983026073
1RD,1RD__r0s2,0.0947782546494993,13.074225216156446
1RD,1RD__r0s3,0.12982832618025753,9.495604115427135
1RD,1RD__r0s4,0.07689556509298999,17.872583947768746
1RD,1RD__r0s5,0.1427038626609442,9.955737225796312
1RD,1RD__r0s6,0.06759656652360516,17.049246940824425
1RD,1RD__r0s7,0.025035765379113017,13.243039569525761
1RD,1RD__r0s8,0.19527896995708155,7.276110572730985
1RD,1RD__r0s9,0.05650929899856939,18.35720772470774
1RD,1RD__r1s0,0.21101573676680974,6.536066102007319
1RD,1RD__r1s1,0.06759656652360516,19.015322994144274
1RD,1RD__r1s2,0.23032904148783978,7.928783374508992
1RD,1RD__r1s3,0.27968526466380544,5.474206589628748
1RD,1RD__r1s4,0.04220314735336195,13.893014419409813
2QH,2QH__r0s0,0.6675627240143369,1.5265219467369797
2QH,2QH__r0s1,0.17831541218637995,8.444925148282067
2QH,2QH__r0s10,0.12365591397849462,10.0344950662636
2QH,2QH__r0s11,0.19444444444444445,8.14903715171799
2QH,2QH__r0s12,0.1635304659498208,7.52784954665524
2QH,2QH__r0s13,0.08691756272401432,10.954294969700427
2QH,2QH__r0s14,0.15905017921146952,8.221351096231926
2QH,2QH__r0s15,0.15143369175627241,11.331566035711955
2QH,2QH__r0s16,0.06317204301075269,9.814993590484532
2QH,2QH__r0s17,0.14919354838709678,7.776848806643043
2QH,2QH__r0s18,0.08870967741935484,11.254503116831309
2QH,2QH__r0s19,0.2114695340501792,6.200784364267023
2QH,2QH__r0s2,0.09094982078853046,10.508541487167449
2QH,2QH__r0s3,0.12141577060931899,11.297229949189031
2QH,2QH__r0s4,0.2661290322580645,6.989152913710464
2QH,2QH__r0s5,0.08378136200716846,11.119758754185398
2QH,2QH__r0s6,0.2818100358422939,5.829950588771574
2QH,2QH__r0s7,0.1792114695340502,8.637577470814932
2QH,2QH__r0s8,0.0667562724014337,12.493564071617897
2QH,2QH__r0s9,0.08915770609318996,12.859736311017658
2QH,2QH__r1s0,0.7302867383512545,1.4812810688866793
2QH,2QH__r1s1,0.14381720430107525,8.659229483658487
2QH,2QH__r1s2,0.13620071684587814,9.012700697582877
2QH,2QH__r1s3,0.10080645161290322,13.335406174678027
2QH,2QH__r1s4,0.21012544802867383,7.126785947114007
5AW,5AW__r0s0,0.18442622950819673,11.2688603216366
5AW,5AW__r0s1,0.060655737704918035,19.105128811512564
5AW,5AW__r0s10,0.1377049180327869,9.430433071550377
5AW,5AW__r0s11,0.08688524590163935,12.439480967066821
5AW,5AW__r0s12,0.08360655737704918,20.609335116229186
5AW,5AW__r0s13,0.0942622950819672,16.217408950315175
5AW,5AW__r0s14,0.23934426229508193,9.349832814953492
5AW,5AW__r0s15,0.0942622950819672,18.06587335812608
5AW,5AW__r0s16,0.09918032786885246,14.839842002786337
5AW,5AW__r0s17,0.08852459016393444,14.993672355814658
5AW,5AW__r0s18,0.04754098360655738,12.078767109728965
5AW,5AW__r0s19,0.05655737704918033,15.829360599546545
5AW,5AW__r0s2,0.13934426229508196,14.5457973594583
5AW,5AW__r0s3,0.0721311475409836,18.239764253457906
5AW,5AW__r0s4,0.03114754098360656,20.176024107172154
5AW,5AW__r0s5,0.08278688524590164,13.361017299283766
5AW,5AW__r0s6,0.04918032786885246,17.031841964550054
5AW,5AW__r0s7,0.0598360655737705,13.623002622574123
5AW,5AW__r0s8,0.09508196721311475,11.275417670713525
5AW,5AW__r0s9,0.13278688524590165,16.039403535485615
6AW,6AW__r0s0,0.7908088235294117,1.3887848086540973
6AW,6AW__r0s1,0.14926470588235294,9.15218614331976
6AW,6AW__r0s10,0.2555147058823529,8.015277264653125
6AW,6AW__r0s11,0.11727941176470588,9.055471427207081
6AW,6AW__r0s12,0.43529411764705883,4.577660071271931
6AW,6AW__r0s13,0.35220588235294115,6.328444296892905
6AW,6AW__r0s14,0.2974264705882353,5.390655336284022
