ligand,sample,n_clashing,n_movable,n_backbone_clashing,heme_min,start_min,n_cleared,n_moved,n_uncleared,max_pert,sum_pert,final_min,solved,inter_sidechain_min,n_backbone
1RD,input_model_0,2,2,2,2.6409005528098266,0.6050345260970662,0,0,2,0.0,0.0,0.6050345260970662,False,,2
1RD,input_model_1,2,2,2,2.545999477435205,0.695013380894757,0,0,2,0.0,0.0,0.695013380894757,False,,2
1RD,input_model_2,2,2,2,2.5670580874160653,0.31632721697503874,0,0,2,0.0,0.0,0.31632721697503874,False,,2
1RD,input_model_3,3,3,2,2.625225795525476,0.4026564263480901,1,1,2,10.0,10.0,0.4026564263480901,False,,2
1RD,input_model_4,2,2,2,2.62351141393821,0.5818609844436115,0,0,2,0.0,0.0,0.5818609844436115,False,,2
1RD,input_model_5,3,3,2,2.5425927514225455,0.5628197922669597,2,2,1,20.0,30.0,0.5628197922669597,False,11.076209144851314,2
1RD,input_model_6,2,2,2,2.5984636890114943,0.7935131853067243,0,0,2,0.0,0.0,0.7935131853067243,False,,2
1RD,input_model_7,2,2,2,2.655985095311318,0.5907758941155956,0,0,2,0.0,0.0,0.5907758941155956,False,,2
1RD,input_model_8,3,3,2,2.703416428549221,0.5238496592330597,1,1,2,10.0,10.0,0.5238496592330597,False,,2
1RD,input_model_9,2,2,2,2.6786368470791366,0.5333133743750512,0,0,2,0.0,0.0,0.5333133743750512,False,,2
1RD,input_model_10,3,3,2,2.670463480029791,0.355264309263877,1,1,2,20.0,20.0,0.355264309263877,False,,2
1RD,input_model_11,2,2,2,2.697586063538178,0.6885400237344934,0,0,2,0.0,0.0,0.6885400237344934,False,,2
1RD,input_model_12,2,2,2,2.6355547789413514,0.7206399641837644,0,0,2,0.0,0.0,0.7206399641837644,False,,2
1RD,input_model_13,2,2,2,2.5738369734588447,0.5671392200844793,0,0,2,0.0,0.0,0.5671392200844793,False,,2
1RD,input_model_14,2,2,2,2.5367214715024837,0.68885100939701,0,0,2,0.0,0.0,0.68885100939701,False,,2
1RD,input_model_15,3,3,2,2.6378706227313553,0.7087326354711422,2,2,1,20.0,40.0,0.7087326354711422,False,10.438618657864508,2
1RD,input_model_16,3,3,2,2.5736402822969873,0.563512852965368,1,1,2,10.0,10.0,0.563512852965368,False,,2
1RD,input_model_17,3,3,2,2.6842446242748443,0.733362279795723,1,1,2,30.0,30.0,0.733362279795723,False,,2
1RD,input_model_18,3,3,2,2.771984372722811,0.6611213196998227,1,1,2,30.0,30.0,0.6611213196998227,False,,2
1RD,input_model_19,2,2,2,2.590685455475066,0.6575991622411492,0,0,2,0.0,0.0,0.6575991622411492,False,,2
5AW,input_model_0,2,2,2,2.5597907803427282,0.778123917360008,1,0,1,0.0,0.0,0.778123917360008,False,,2
5AW,input_model_1,2,2,2,2.487343961544675,0.6363018752139598,1,0,1,0.0,0.0,0.6363018752139598,False,,2
5AW,input_model_2,2,2,2,2.500774860041097,0.47735105064112493,1,0,1,0.0,0.0,0.47735105064112493,False,,2
5AW,input_model_3,2,2,2,2.473407517996561,0.43299336101301134,1,0,1,0.0,0.0,0.43299336101301134,False,,2
5AW,input_model_4,3,3,2,2.5772949038569464,0.6278780267981746,2,1,1,30.0,30.0,0.6278780267981746,False,,2
5AW,input_model_5,2,2,1,2.5157873484966893,0.7783070722523145,1,1,1,20.0,20.0,0.7783070722523145,False,,1
5AW,input_model_6,1,1,1,2.4314946401639155,0.30020064523127027,0,0,1,0.0,0.0,0.30020064523127027,False,,1
5AW,input_model_7,4,4,2,2.5082374032577213,0.730492992998417,3,2,1,20.0,30.0,0.730492992998417,False,6.389432847818515,2
5AW,input_model_8,3,3,2,2.590510129478185,0.509329027773089,2,1,1,30.0,30.0,0.7210206238371576,False,,2
5AW,input_model_9,1,1,1,2.403205775433382,0.34789946042375536,0,0,1,0.0,0.0,0.34789946042375536,False,,1
5AW,input_model_10,2,2,2,2.57036730788241,0.8927200757215596,1,0,1,0.0,0.0,0.8927200757215596,False,,2
