inchikey_block,isoform,method,structure_path,confidence,predicted_affinity,completed,valid,invalid_reason,fe_min_dist,frac_proximal,max_clash,n_contacts,is_coordinated
ZDVHZKHFMHUZDU,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\ZDVHZKHFMHUZDU__rt5s0.cif,0.9376,,True,True,,3.462,0.0,0.647,69,False
QCPPGXUAWUBFAE,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\QCPPGXUAWUBFAE__rt5s0.cif,0.9336,,True,False,severe steric overlap (2.47 A into vdW),3.322,0.0,2.469,73,False
SBNKFTQSBPKMBZ,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\SBNKFTQSBPKMBZ__rt5s0.cif,0.9776,,True,True,,3.762,0.0,0.114,21,False
BZAIRDCOXHAADH,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\BZAIRDCOXHAADH__rt5s0.cif,0.9798,,True,True,,4.161,0.0,1.411,85,False
NJTPBFZBPRMEJR,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\NJTPBFZBPRMEJR__rt5s0.cif,0.9378,,True,True,,4.466,0.0,0.527,58,False
CNIIGCLFLJGOGP,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\CNIIGCLFLJGOGP__rt5s0.cif,0.9495,,True,True,,3.556,0.0,0.83,54,False
UIEGYIFDVIDYHB,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\UIEGYIFDVIDYHB__rt5s0.cif,0.9691,,True,True,,2.24,0.0,0.593,69,True
SEBMTIQKRHYNIT,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\SEBMTIQKRHYNIT__rt5s0.cif,0.9348,,True,False,severe steric overlap (1.58 A into vdW),4.199,0.0,1.577,81,False
HIUVKVDQFXDZHU,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\HIUVKVDQFXDZHU__rt5s0.cif,0.947,,True,True,,3.892,0.0,0.406,26,False
WTTPTXHWBCVSAE,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\WTTPTXHWBCVSAE__rt5s0.cif,0.9422,,True,True,,2.716,0.0,1.247,70,False
BRZANEXCSZCZCI,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\BRZANEXCSZCZCI__rt5s0.cif,0.9518,,True,True,,2.239,0.0,0.673,69,True
VYZSNRUMPKDNLT,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\VYZSNRUMPKDNLT__rt5s0.cif,0.9368,,True,True,,2.464,0.0,0.536,87,True
IROJCVZEMVZADB,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\IROJCVZEMVZADB__rt5s0.cif,0.9579,,True,False,severe steric overlap (1.62 A into vdW),2.178,0.0,1.619,138,True
AGOOMVXOHLHTCM,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\AGOOMVXOHLHTCM__rt5s0.cif,0.9401,,True,True,,5.384,0.0,0.326,76,False
YCHNKCQNPQJYSD,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\YCHNKCQNPQJYSD__rt5s0.cif,0.9586,,True,True,,2.906,0.0,1.147,112,False
HQIRNZOQPUAHHV,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\HQIRNZOQPUAHHV__rt5s0.cif,0.9431,,True,True,,3.577,0.0,0.945,59,False
LZAPOHZTKRQZKM,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\LZAPOHZTKRQZKM__rt5s0.cif,0.9372,,True,True,,3.323,0.0,0.999,102,False
FQTOHOCJEYDRRG,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\FQTOHOCJEYDRRG__rt5s0.cif,0.9386,,True,True,,3.693,0.0,0.784,98,False
OCSVTGWIMRELRH,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\OCSVTGWIMRELRH__rt5s0.cif,0.9405,,True,True,,3.022,0.0,1.335,105,False
REYFJDPCWQRWAA,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\REYFJDPCWQRWAA__rt5s0.cif,0.9451,,True,True,,3.165,0.0,1.123,63,False
SMRUWTFDCWAZON,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\SMRUWTFDCWAZON__rt5s0.cif,0.9369,,True,True,,3.757,0.0,0.719,99,False
WPBCUTZPCFFBTO,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\WPBCUTZPCFFBTO__rt5s0.cif,0.9325,,True,True,,4.476,0.0,0.103,78,False
HUCPMSPYTPCDKA,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\HUCPMSPYTPCDKA__rt5s0.cif,0.941,,True,True,,4.157,0.0,1.261,89,False
JGTLGAGKPNYMRY,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\JGTLGAGKPNYMRY__rt5s0.cif,0.9772,,True,True,,2.217,0.0,0.346,76,True
DMSGWBYWZFAVFS,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\DMSGWBYWZFAVFS__rt5s0.cif,0.9436,,True,True,,4.712,0.0,0.664,117,False
CRUWCZSXWRLWRA,CYP3A4,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP3A4\CRUWCZSXWRLWRA__rt5s0.cif,0.9645,,True,True,,2.206,0.0,1.382,83,True
