ligand,fg_to_crystal_single,n_fg_atoms,fg_to_crystal_double,fg_to_crystal_decoy,fg_single_vs_double,fg_single_vs_double_excl,fg_single_vs_decoy,fg_single_vs_decoy_excl
MF8,0.4828683965205222,28,0.3478798830930106,0.37585941327520345,0.2104059101633768,0.23001983905475903,0.19718337257214189,0.21857011061744128
CFF,0.4577553895774043,28,0.24408364118626225,0.5643345877430759,0.282141189613112,0.2978959814638421,0.23982941314371187,0.25090728449287314
MYT,1.6745197113944552,28,0.3591838799688156,0.7715595980095639,1.5973738066887386,1.7080870386586622,1.5393353587580003,1.7036253982235057
A1ASS,0.4253901253869734,28,0.5589010382275212,0.4548751963262804,0.24511945983696126,0.2623012377088661,0.18537867054810336,0.21982519138483386
A1ASV,0.38543402420881595,28,2.330801205831061,0.38122196217272836,2.1507772165455363,2.323197364639589,0.24309461132012636,0.27443450055868374
08J,6.358457596775477,28,5.731233015029126,6.259042708422084,2.326079100953906,2.3753829699780358,0.2703129934987159,0.2713329641964319
PK9,0.7228560597201381,28,0.40351693915083087,0.5987579508130894,0.46046096238752615,0.5367863610410383,0.1777086090649417,0.20014866981865378
TCI,0.5869300455287185,28,0.6668888743749288,0.49254421621417166,0.33019195268195045,0.36394073093530793,0.18789809041083716,0.20064297536535283
A1ASU,2.9368615845497845,24,3.007155386560408,2.9700183986121638,0.3029949285849456,0.30851139696257224,0.37917617066672615,0.4261723675387234
CL6,5.689743024416943,28,6.082159585770399,6.098135812238684,1.1943447591938603,1.1987539890638055,0.8717829081233673,0.8869452217457203
A1ASP,2.6073169003341,28,2.4376671527137383,2.0125538216348677,0.40070490458245467,0.4162889125677662,0.7842380396862031,0.8338513947690046
A1ASR,0.7752728202748477,28,0.8246145525118567,0.6365150559957444,0.1919668486303813,0.2119152413198188,0.26685858934415946,0.277652569396538
D7Y,1.4557256516281332,28,1.5307606615356608,0.4714284470409087,0.4113724451838366,0.44353261147049655,1.1120455626174766,1.1427462541374407
MWS,0.4201926484891295,28,0.5371257120043067,0.45576400473719547,0.292297210890982,0.3266267640847482,0.20104099424478436,0.22149919324402018
A1ASQ,0.5459989828466689,28,2.472652562903915,0.8084610748295982,2.3087394819218017,2.485307864823558,0.4304713018279522,0.47598946804007936
