ligand,bisy_rmsd_decoy,bisy_rmsd_double,bisy_rmsd_single,lddt_pli_decoy,lddt_pli_double,lddt_pli_single,rot_deg_decoy,rot_deg_double,rot_deg_single,second_class,second_fe,per_contacts
08J,4.887,5.2144,4.883,0.1707,0.1518,0.1918,102.752,91.2054,97.5728,channel,12.080902532843208,0.75
A1ASP,3.1849,3.2492,1.2323,0.5841,0.5296,0.804,48.6699,51.3708,14.6222,active_site,10.78660732396835,1.25
A1ASQ,2.8126,2.9193,2.2721,0.6795,0.6397,0.7313,45.4984,31.2896,17.41,active_site,6.156533497344745,0.5
A1ASR,2.06,3.505,1.415,0.7503,0.5324,0.8685,33.9113,58.1155,10.2193,active_site,5.459489216983177,2.25
A1ASS,0.7805,1.3537,2.8578,0.8816,0.7123,0.6685,9.8384,19.2229,57.8386,active_site,6.1200387287368425,1.25
A1ASU,1.5656,1.9593,1.5133,0.7797,0.7167,0.7878,19.6783,21.2491,18.9598,active_site,5.5217853294170505,0.0
A1ASV,2.0677,3.5031,2.8233,0.7307,0.5312,0.6523,43.7916,71.9224,60.6149,active_site,9.263650691764914,1.0
CFF,5.1735,0.593,0.3316,0.2657,0.8218,0.8134,125.3868,10.9705,5.7265,channel,13.342979919195708,0.0
CL6,2.9144,3.7571,3.7249,0.6177,0.5215,0.5128,106.962,161.5173,156.0614,active_site,11.670934914379629,3.0
D7Y,2.7311,2.434,1.7239,0.6722,0.6712,0.7519,33.0538,25.0474,15.1446,active_site,9.753243858682064,1.0
MF8,17.3498,2.9371,3.5751,0.0,0.4651,0.4767,49.7087,130.0632,117.0322,peripheral_groove,18.607143281127108,5.0
MWS,6.4003,1.287,3.1959,0.5562,0.7637,0.5737,44.8697,9.3229,129.2765,active_site,8.257915939062196,2.0
MYT,2.7119,3.8436,1.5625,0.6264,0.4728,0.8031,61.5955,151.4458,15.3161,active_site,6.357261620129473,1.0
PK9,6.5183,4.7511,5.004,0.2761,0.4475,0.3763,153.6452,136.6887,127.0376,active_site,10.015434297434174,0.5
TCI,8.8928,4.6023,6.1702,0.289,0.2998,0.2611,115.714,69.3225,129.1831,active_site,10.152957942066315,1.5
