ligand,arm,n,sd,rot_sd
08J,decoy,4,0.013157894736842146,33.762401804919094
08J,double,4,0.0038088642659279445,7.461029577203372
08J,single,4,0.0055401662049861505,2.384074737755756
A1ASP,decoy,4,0.10345377360479134,10.548186737839211
A1ASP,double,4,0.007389162561576367,2.7340509176113343
A1ASP,single,4,0.02493842364532019,1.6044838571520208
A1ASQ,decoy,4,0.02477220956719815,11.491898870952276
A1ASQ,double,4,0.0059794988610478465,1.6673503503370204
A1ASQ,single,4,0.008257403189066084,0.3592039998975482
A1ASR,decoy,4,0.036075949367088585,3.274108810786216
A1ASR,double,4,0.07120253164556962,9.262535361202147
A1ASR,single,4,0.024367088607594945,0.8021864099419802
A1ASS,decoy,4,0.007594936708860782,0.38351349035796617
A1ASS,double,4,0.0449367088607594,4.895825477300569
A1ASS,single,4,0.004746835443038,1.822930282699105
A1ASU,decoy,4,0.05455043859649123,3.259552040792575
A1ASU,double,4,0.025493421052631637,0.8731828946770582
A1ASU,single,4,0.05153508771929823,7.440950261031055
A1ASV,decoy,4,0.002478753541076523,0.8556487926497608
A1ASV,double,4,0.07082152974504256,12.017061539805624
A1ASV,single,4,0.024079320113314474,6.174769365308626
CFF,decoy,4,0.026744186046511645,3.6661080052879953
CFF,double,4,0.033139534883721,0.6986690919453662
CFF,single,4,0.00813953488372098,0.6270562595354575
CL6,decoy,4,0.18607954545454541,70.07426307340693
CL6,double,4,0.004261363636363631,8.534996720306557
CL6,single,4,0.004734848484848425,9.693749361016323
D7Y,decoy,4,0.06070640176600438,17.584069996420364
D7Y,double,4,0.03504415011037529,3.3314334046390774
D7Y,single,4,0.08443708609271526,12.868505312025702
MF8,decoy,4,0.0,0.0
MF8,double,4,0.06976744186046516,79.29449088379594
MF8,single,4,0.0,0.0
MWS,decoy,4,0.3681172291296625,69.41782224450613
MWS,double,4,0.02109236234458266,1.1434872581222906
MWS,single,4,0.11545293072824155,81.12495323809001
MYT,decoy,4,0.28910614525139666,78.21256995817062
MYT,double,4,0.009776536312849124,16.127449654849553
MYT,single,4,0.022346368715083883,2.2228783762935116
PK9,decoy,4,0.02295918367346939,5.56098891578921
PK9,double,4,0.0424107142857143,13.787497429170058
PK9,single,4,0.11862244897959184,20.73389706821203
TCI,decoy,4,0.18824940047961633,28.86034741438604
TCI,double,4,0.07194244604316541,19.07615033996615
TCI,single,4,0.04736211031175063,29.95648345080033
