ligand,pdb,sample,n_span,rms,control_ihelix_rms
08J,5TE8,input_model_0,7,7.1004683744010695,0.5274869217203724
08J,5TE8,input_model_1,7,7.047096007556035,0.5498157931527063
08J,5TE8,input_model_10,7,6.588762484843403,0.5271792532585027
08J,5TE8,input_model_11,7,7.174465152835483,0.5483785186432487
08J,5TE8,input_model_12,7,7.226659714845446,0.5467832113322112
08J,5TE8,input_model_13,7,7.028345149981107,0.5358176079916974
08J,5TE8,input_model_14,7,6.603659941736387,0.5310439163903337
08J,5TE8,input_model_15,7,7.180427242372594,0.5846777442841389
08J,5TE8,input_model_16,7,7.223898490833384,0.5256106918579454
08J,5TE8,input_model_17,7,7.333719587060232,0.5278028833616483
08J,5TE8,input_model_18,7,7.298407017681681,0.4987877877144952
08J,5TE8,input_model_19,7,7.127323444617622,0.5974360225107762
08J,5TE8,input_model_2,7,7.237499631906558,0.48057788365194953
08J,5TE8,input_model_3,7,7.2736422556053055,0.5686837245789103
08J,5TE8,input_model_4,7,7.263002291781247,0.5662175513433908
08J,5TE8,input_model_5,7,7.209957318310228,0.558513741401465
08J,5TE8,input_model_6,7,7.331395097896552,0.456892940880119
08J,5TE8,input_model_7,7,7.412219496309505,0.491423775252967
08J,5TE8,input_model_8,7,7.15831192996797,0.5136858484098603
08J,5TE8,input_model_9,7,7.304938879854383,0.5417246076828032
08Y,3UA1,input_model_0,7,0.3241373462511727,0.26463755129751426
08Y,3UA1,input_model_1,7,0.44353724669800354,0.24219516608487957
08Y,3UA1,input_model_10,7,0.4978221015127238,0.29180994476092886
08Y,3UA1,input_model_11,7,0.35696197946997715,0.23797826438257025
08Y,3UA1,input_model_12,7,0.35300346780284936,0.26747014617390674
08Y,3UA1,input_model_13,7,0.3180517205840383,0.2656313555503049
08Y,3UA1,input_model_14,7,0.34109509329284277,0.3046494562986672
08Y,3UA1,input_model_15,7,0.34202204571116257,0.27240686634855743
08Y,3UA1,input_model_16,7,0.33350682326967085,0.25965722866117535
08Y,3UA1,input_model_17,7,0.27072789290269245,0.28239533423772845
08Y,3UA1,input_model_18,7,0.31963670424761714,0.3014071320069496
08Y,3UA1,input_model_19,7,0.43753705122192527,0.24911988655679357
08Y,3UA1,input_model_2,7,0.32128082950801135,0.24043003888614087
08Y,3UA1,input_model_3,7,0.3368363115268939,0.2180417578926604
08Y,3UA1,input_model_4,7,0.3519327056030949,0.24751806297665954
08Y,3UA1,input_model_5,7,0.43270083922218094,0.2978569417476494
08Y,3UA1,input_model_6,7,0.3652001712456062,0.2516585187378759
08Y,3UA1,input_model_7,7,0.3690560838066416,0.2600074541003916
08Y,3UA1,input_model_8,7,0.38323420025541616,0.2827548732399416
08Y,3UA1,input_model_9,7,0.261383541495113,0.23564391132510545
1RD,4K9T,input_model_0,7,4.5411672242317795,0.7885017814812353
1RD,4K9T,input_model_1,7,4.240178147578806,0.7906374121661341
1RD,4K9T,input_model_10,7,4.51695057798134,0.7756502526131092
1RD,4K9T,input_model_11,7,4.627844398176246,0.7527808220436562
1RD,4K9T,input_model_12,7,4.613626304428095,0.8076335664145035
1RD,4K9T,input_model_13,7,4.586145487068841,0.7946551176750543
1RD,4K9T,input_model_14,7,4.459024785794051,0.8243671952865437
1RD,4K9T,input_model_15,7,4.545570405302767,0.7688984107294743
1RD,4K9T,input_model_16,7,4.588307309389539,0.7408918163081055
1RD,4K9T,input_model_17,7,4.383180981929359,0.8043041378363824
1RD,4K9T,input_model_18,7,4.545658329522208,0.8159682387634508
1RD,4K9T,input_model_19,7,4.523849406777388,0.758662912840182
1RD,4K9T,input_model_2,7,4.336355430173703,0.7573970949000665
