kind,donor,ligand,pdb,n_span,n_core,core_fit,rms,max_dev,control_ihelix_rms,dropped
apo,1TQN,08J,5TE8,7,150.0,0.6821118722172179,7.098432196611974,11.614061857608977,0.5812524957182938,
apo,1TQN,08Y,3UA1,7,148.0,0.38978072776078904,0.39680065295676265,0.526742516705646,0.25964720798039126,
apo,1TQN,1RD,4K9T,7,146.0,0.6685481721881278,4.564912299458292,6.799576915951639,0.894418853218643,
apo,1TQN,2QH,4NY4,7,149.0,0.5216865790180363,1.2163803173955507,2.237913397209442,0.6482605992006212,
apo,1TQN,5AW,4K9U,1,,,,,,span < 4 residues in common
apo,1TQN,6AW,4K9V,7,146.0,0.40756296553653815,1.1822264637759279,2.33366100702243,0.4407530246139473,
apo,1TQN,7AW,4K9W,7,148.0,1.0595618719673205,4.7290098980181785,5.99144158323695,1.2153178207194573,
apo,1TQN,80K,6BD6,7,148.0,0.5363588917752902,1.2919007103471767,2.0932893214377075,0.7450316656707193,
apo,1TQN,8AW,4K9X,5,147.0,0.740860564305809,4.879930418047552,5.732064411745977,0.9443978596020761,
apo,1TQN,A1A06,9COS,0,,,,,,span < 4 residues in common
apo,1TQN,A1A07,9COR,1,,,,,,span < 4 residues in common
apo,1TQN,A1A08,9COT,0,,,,,,span < 4 residues in common
apo,1TQN,A1A4K,9COX,0,,,,,,span < 4 residues in common
apo,1TQN,A1A4S,9COV,0,,,,,,span < 4 residues in common
apo,1TQN,A1A4T,9COY,0,,,,,,span < 4 residues in common
apo,1TQN,A1A4U,9COU,0,,,,,,span < 4 residues in common
apo,1TQN,A1A4V,9COW,0,,,,,,span < 4 residues in common
apo,1TQN,A1APA,9BBB,1,,,,,,span < 4 residues in common
apo,1TQN,A1ASO,9BVC,7,149.0,0.45519513310052256,0.9759156546654718,1.3283914399375663,0.45153254077396465,
apo,1TQN,A1ASP,9BVB,7,150.0,0.472817259765374,0.8074178673703045,1.0460590697241914,0.46754256888905305,
apo,1TQN,A1ASQ,9BVA,7,149.0,0.47592214868865995,0.741997455497141,0.9967168867545708,0.5403942989388368,
apo,1TQN,A1ASR,9BV9,7,150.0,0.49360613543274784,0.8113425528574625,1.0651078262350675,0.4560762853969997,
apo,1TQN,A1ASS,9BV8,7,150.0,0.3735353729815792,0.5684150243331207,0.8950877145904286,0.3600131656846925,
apo,1TQN,A1AST,9BV7,7,149.0,0.4878924502030316,0.9418133818599504,1.3556093690182163,0.5292266131418326,
apo,1TQN,A1ASU,9BV6,6,150.0,0.47386687508542485,4.92889697138346,6.5848406965724475,0.5940888007529044,
apo,1TQN,A1ASV,9BV5,7,151.0,0.7809937784565656,0.7095189181386817,1.1143223466620873,0.45178139784993354,
apo,1TQN,A1BNX,9MS1,2,,,,,,span < 4 residues in common
apo,1TQN,A1CIW,9PLK,4,151.0,0.4679283336904878,4.989834919613355,7.326593962516933,0.397825175270408,
apo,1TQN,CFF,8SO1,7,151.0,0.4728582825035827,0.32569138428957367,0.39361277045692766,0.22542302024111185,
apo,1TQN,CL6,8SPD,7,149.0,0.5546905559591015,7.283154967094178,9.095487921313007,0.5231641262307901,
apo,1TQN,D0R,3TJS,2,,,,,,span < 4 residues in common
apo,1TQN,D7J,6BD7,7,151.0,0.649708355713001,0.5836328530030482,0.7858485419238559,0.3968029257394065,
apo,1TQN,D7M,6BD5,7,149.0,0.4937789203149467,0.43782757818322876,0.5682966484328512,0.4393077828748441,
apo,1TQN,D7Y,6BCZ,7,151.0,0.647379388273025,0.5085344019246558,0.7959578247336838,0.3316477865880637,
apo,1TQN,D81,6BD8,7,149.0,0.5749889937054565,0.8580484373857462,1.1843701133323552,0.7761973271065277,
apo,1TQN,DEJ,6BDI,7,150.0,0.6201993584630641,0.477901365256024,0.7883804689122077,0.41488710889613006,
apo,1TQN,DEV,6BDH,0,,,,,,span < 4 residues in common
apo,1TQN,DJ1,6BDK,7,150.0,0.6086354303965255,0.524279527341546,0.8260558869604289,0.4066540074194343,
apo,1TQN,ERY,2J0D,4,150.0,0.6529470408760167,6.148665858269468,8.30702039908258,0.5587641213303348,
apo,1TQN,FZV,6DAC,4,149.0,0.47952706233316184,2.4796887004249344,4.926315385617489,0.546224855021689,
apo,1TQN,G0D,6DA2,3,,,,,,span < 4 residues in common
apo,1TQN,G0J,6DA8,1,,,,,,span < 4 residues in common
apo,1TQN,G0M,6DAA,1,,,,,,span < 4 residues in common
apo,1TQN,G0V,6DAB,0,,,,,,span < 4 residues in common
apo,1TQN,G1J,6DA5,1,,,,,,span < 4 residues in common
apo,1TQN,J9K,4D78,7,146.0,0.5805005878939852,4.82872886245293,6.826782991973352,0.849654820870979,
apo,1TQN,KLN,2V0M,7,146.0,0.7790565891055878,5.379360526404291,6.758894834292634,1.092027538023639,
apo,1TQN,MF8,5G5J,7,148.0,0.4377633543103505,0.5028436386112185,0.5999533453832825,0.2542438792492559,
apo,1TQN,MWS,6OOB,7,150.0,0.4505464121888977,0.37137137478647647,0.480794633020027,0.28745538341726856,
